ID,type,address,city,postcode,lat,lon,rentNet,rentGross,livingSpace,arePetsAllowed,hasFlatSharingCommunity,isUnderRoof,CHF/m2,title,numberOfRooms,floor,yearBuilt,isNewBuilding,yearLastRenovated,hasGarage,hasParking,hasRamp,isWheelchairAccessible,isOldBuilding,hasSwimmingPool,hasFireplace,isCornerHouse,isMiddleHouse,hasGardenShed,hasLiftingPlatform,hasBalcony,hasCableTv,isGroundFloorRaised,hasNiceView,hasConnectedBuildingLand,hasElevator,isChildFriendly,distanceHighSchool,distanceKindergarten,distancePrimarySchool,distanceMotorway,distancePublicTransport,personId,additionalCosts,additionalCosts/m2,canton
4001120336,"APARTMENT, FLAT",Jakob-Strasse 42,Biel/Bienne,2504,47.151071781978,7.272672311604,1200.0,1380.0,61.0,True,,,22.62,Ihr neues Bijou!,3.0,1.0,1960.0,,2004.0,True,,,,True,,,,,,,,True,,,,,True,,,,,,679,180.0,2.9508196721311477,BE
4001097418,"APARTMENT, FLAT",Lingerizstrasse 64b,Grenchen,2540,47.188321781973,7.379782311602,930.0,1260.0,71.0,,,,17.75,Preiswertes Wohnen garantiert!,4.0,2.0,,,,True,True,,,,,,,,,,True,,,,,,,1100.0,650.0,2600.0,,5.0,679,330.0,4.647887323943662,SO
4001093214,"APARTMENT, FLAT",Bürenstrasse 41,Biel/Bienne,2504,47.150861781974,7.271542311608,1196.0,1356.0,60.0,True,,,22.6,Ihre neue Wohnung?,3.0,1.0,1960.0,,2005.0,True,,,,True,,,,,,,,True,,,,,True,,,,,,679,160.0,2.6666666666666665,BE
4001115453,"APARTMENT, FLAT",Belchenring 63,Allschwil,4123,47.543481781972,7.545532311605,2371.0,2781.0,119.0,True,,,23.37,Grosszügiges Wohnen mit Gartensitzplatz,4.5,0.0,2006.0,True,,True,True,,True,,,,,,,,,True,,,,,True,,,,,,679,410.0,3.4453781512605044,BL
4001104196,"APARTMENT, FLAT",Mooswiesenweg 19,Winterthur,8404,47.514551781978,8.760272311606,1502.0,1702.0,65.0,,,,26.18,Wohnen Sie an idyllischer Lage!,3.0,2.0,1959.0,,2002.0,,,,,,,,,,,,,,,,,,,,,,,,679,200.0,3.076923076923077,ZH
4001120333,"APARTMENT, FLAT",Hammerstr. 121,Basel,4057,47.566631781976,7.595092311601,1590.0,1880.0,95.0,True,,,19.79,"Geräumige Wohnung, mitten in der Stadt!",3.5,3.0,1981.0,,,True,,,,,,,,,,,True,True,,,,True,,2000.0,1000.0,1000.0,,50.0,679,290.0,3.0526315789473686,BS
4001102048,"APARTMENT, FLAT",Zentralstr. 6,Dietikon,8953,47.404931781977,8.400972311601,2519.0,2909.0,126.0,True,,,23.09,Lebensqualität - mitten in Dietikon,4.5,2.0,2011.0,,,True,,,,,,,,,,,True,True,,,,True,,400.0,350.0,400.0,,180.0,679,390.0,3.0952380952380953,AG
4001120356,"APARTMENT, FLAT",Hohrainlistrasse 37,Kloten,8302,47.459581781978,8.582032311601,1864.0,2104.0,88.0,True,,,23.91,Meine neue Wohnung,3.5,5.0,1965.0,,,True,True,,,True,,,,,,,,,,,,True,,,,,,,679,240.0,2.727272727272727,ZH
4001120353,"APARTMENT, FLAT",Am Mattenhof 2a,Kriens,6010,47.027741781977,8.301462311601,2220.0,2460.0,81.0,True,,,30.37,Wohnen Sie mit Weitsicht im MATTEO,3.5,12.0,2018.0,True,,,,,,,,,,,,,,True,,,,,True,,,,,,679,240.0,2.962962962962963,NW
4001120354,"APARTMENT, FLAT",Spalenring 139,Basel,4055,47.555131781971,7.576202311606,1140.0,1360.0,47.0,True,,,28.94,Schöne zentrale 2 -Zimmerwohnung !,2.0,2.0,1970.0,,,,,,,,,,,,,,,True,,,,,,2500.0,800.0,3000.0,,50.0,679,220.0,4.680851063829787,BS
4001112548,"APARTMENT, FLAT",Birsstr. 320,Basel,4052,47.541301781971,7.621712311608,3600.0,4200.0,149.0,,,,28.19,Geniessen Sie die Weitsicht,4.5,12.0,2007.0,,,,,,,,,,,,,,True,,,,,True,,2000.0,1000.0,1500.0,,100.0,679,600.0,4.026845637583893,BL
4001120339,"APARTMENT, FLAT",Corso San Gottardo 76,Chiasso,6830,45.836091781975,9.026362311607,920.0,1070.0,49.0,True,,,21.84,Un elegante e moderno appartamento,2.5,1.0,2015.0,True,2022.0,True,True,,,,,,,,,,,True,,,,True,True,1800.0,350.0,700.0,,100.0,679,150.0,3.061224489795918,TI
4001092318,"APARTMENT, FLAT",Lingerizstrasse 64,Grenchen,2540,47.188091781979,7.380002311602,850.0,1120.0,59.0,,,,18.98,Preiswertes Wohnen garantiert!,3.0,1.0,,,,True,True,,,,,,,,,,True,,,,,,,1100.0,650.0,2600.0,,5.0,679,270.0,4.576271186440678,SO
4001100921,"APARTMENT, FLAT",Rue de la Perriere 11,Neuchâtel,2000,46.983351781972,6.899882311604,750.0,940.0,34.0,,,,27.65,Joli studio au rez-de-chaussée,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,679,190.0,5.588235294117647,NE
4001115469,"APARTMENT, FLAT",Rte de Villars 11,Fribourg,1700,46.801541781971,7.143812311604,1570.0,1820.0,88.0,True,,,20.68,"Apaprtement 4.5 pièces mansardé, garantie de loyer gratuite !",4.0,4.0,1900.0,,2013.0,,True,,,,,,,,,,,True,,,,,True,1000.0,1000.0,1000.0,,20.0,679,250.0,2.840909090909091,FR
4001112542,"APARTMENT, FLAT",Seilerwis 5,Greifensee,8606,47.371341781974,8.681632311602,1920.0,2238.0,111.0,True,,,20.16,Die perfekte Familienwohnung,4.5,5.0,1968.0,,2008.0,True,True,,,,,,,,,,True,True,,,,True,True,450.0,200.0,650.0,,400.0,679,318.0,2.864864864864865,ZH
4001099151,"APARTMENT, FLAT",Contrada di Sassello 5,Lugano,6900,46.003551781975,8.949732311604,1840.0,2070.0,66.0,,,,31.36,Elegante appartamento di 3 locali in centro,3.0,4.0,1946.0,,2012.0,,,,,,,,,,,,,,,,,True,,,,,,,679,230.0,3.484848484848485,TI
4001115450,"APARTMENT, DUPLEX",Espacité 3,La Chaux-de-Fonds,2300,47.102571781972,6.828482311607,1330.0,1730.0,111.0,True,,True,15.59,LOCATION AVEC CAUTION GRATUITE !,4.5,4.0,1993.0,,,,,,,,,,,,,,,True,,,,True,True,200.0,,200.0,,50.0,679,400.0,3.6036036036036037,NE
4001106721,"APARTMENT, FLAT",Claragraben105/Klingentalst 12,Basel,4057,47.563251781977,7.593382311601,1430.0,1680.0,76.0,True,,,22.11,Zentralgelegene Wohnung am Claramätteli,3.0,5.0,1952.0,,,,,,,,,,,,,,True,True,,,,True,True,600.0,10.0,300.0,,10.0,679,250.0,3.289473684210526,BS
4001110211,"APARTMENT, FLAT",Im Käfergrund 45,Aarau,5000,47.378921781975,8.055502311605,1479.0,1719.0,78.0,True,,,22.04,Wohnen im Goldernquartier!,3.5,1.0,1963.0,,2011.0,True,True,,,True,,,,,,,True,True,,,,True,True,700.0,200.0,700.0,,100.0,679,240.0,3.076923076923077,AG
4001112535,"APARTMENT, FLAT",Binningerstr. 42,Reinach BL,4153,47.502091781977,7.593632311609,2050.0,2290.0,114.0,True,,,20.09,Ruhiges Wohnen in Reinach Nähe Wald,4.5,3.0,1974.0,,,True,True,,,,,,,,,,True,True,,,,True,,1000.0,50.0,550.0,,300.0,679,240.0,2.1052631578947367,BL
4001115462,"APARTMENT, FLAT",Marktplatz 5,St. Gallen,9000,47.425661781979,9.375362311609,880.0,1050.0,34.0,,,,30.88,Voranzeige - Bezugsbereit per sofort,1.5,3.0,1933.0,,2020.0,,,,,,,,,,,,,True,,,,,,,,,,100.0,679,170.0,5.0,SG
4001106728,"APARTMENT, FLAT",Birsweg 12,Dornach,4143,47.486571781974,7.608552311607,1610.0,1810.0,84.0,True,,,21.55,4-Zimmer-Wohnungen zu attraktiven Mietpreisen,4.0,3.0,1971.0,,2012.0,True,True,,,,,,,,,,True,True,,,,True,True,500.0,300.0,500.0,,250.0,679,200.0,2.380952380952381,SO
4001100929,"APARTMENT, FLAT",Römerstr. 156,Winterthur,8404,47.506441781978,8.754332311601,1630.0,1955.0,96.0,True,,,20.36,"Wohnen im ""Unteren Bühl"" in Oberi! ""Mietern ohne Kaution""",3.5,4.0,1987.0,,,True,,,,True,,,,,,,True,True,,,,True,True,50.0,50.0,50.0,,300.0,679,325.0,3.3854166666666665,ZH
4001117565,"APARTMENT, DUPLEX",Eisengasse 9/Hinterhaus,Basel,4051,47.559281781973,7.588292311604,2410.0,2610.0,110.0,,,,23.73,Schöne Altbauwohnung im Herzen von Basel,3.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,679,200.0,1.8181818181818181,BS
4001115465,"APARTMENT, FLAT",Friedaustr. 13,Aadorf,8355,47.484461781972,8.910082311606,1470.0,1790.0,95.0,True,,,18.84,Wohnung im Grünen zu vermieten,4.5,2.0,1974.0,,2006.0,True,True,,,True,,,,,,,True,True,,,,True,True,1300.0,1200.0,1100.0,,700.0,679,320.0,3.3684210526315788,TG
4001093220,"APARTMENT, FLAT",Dörfliweg 3,Schliern b. Köniz,3098,46.908351781976,7.415502311608,1883.0,2273.0,100.0,True,,True,22.73,Ihre neu Wohnung in Schlieren!,4.5,2.0,1986.0,,,True,True,,,True,,,,,,,True,True,,,,True,True,500.0,500.0,500.0,,20.0,679,390.0,3.9,BE
4001117560,"APARTMENT, FLAT",Rte de Bertigny 6a,Fribourg,1700,46.802091781976,7.143262311602,1120.0,1325.0,57.0,True,,,23.25,Sympathique appartement  de 2.5 pièces dans la verdure,2.5,1.0,1987.0,,,True,True,,,,,,,,,,True,True,,,,True,True,1000.0,1000.0,1000.0,,200.0,679,205.0,3.5964912280701755,FR
4001104226,"APARTMENT, FLAT",Goliathgasse 37,St. Gallen,9000,47.427931781971,9.377032311609,1799.0,2039.0,97.0,,,,21.02,Wohnen im Herzen von St.Gallen,3.5,3.0,1920.0,,2018.0,,,,,True,,,,,,,,True,,,,True,,500.0,450.0,450.0,,200.0,679,240.0,2.4742268041237114,SG
4001115487,"APARTMENT, FLAT",Römerstr. 152,Winterthur,8404,47.506101781977,8.754312311609,1610.0,1854.0,98.0,True,,,18.92,"Schöne Wohnung an optimaler Lage! ""Mieten ohne Kaution""",3.5,1.0,1987.0,,,True,,,,True,,,,,,,True,True,,,,True,True,50.0,50.0,50.0,,300.0,679,244.0,2.489795918367347,ZH
4001104221,"APARTMENT, FLAT",Goliathgasse 37,St. Gallen,9000,47.427931781971,9.377032311609,1909.0,2229.0,97.0,,,,22.98,Zentrale Stadtwohnung sucht Sie!,4.0,2.0,1920.0,,2018.0,,,,,True,,,True,,,,,True,,True,,True,,500.0,450.0,450.0,,200.0,679,320.0,3.2989690721649483,SG
4001104192,"APARTMENT, FLAT",Fbg du Lac 35,Neuchâtel,2000,46.993791781973,6.935732311606,1960.0,2360.0,110.0,,,,21.45,LOCATION AVEC CAUTION GRATUITE - Sur le parc du Jardin anglais,5.5,2.0,1948.0,,2006.0,,,,,,,,,,,,True,,,,,True,,,,,,,679,400.0,3.6363636363636362,NE
4001100924,"APARTMENT, FLAT",Zuchwilerstr. 62,Solothurn,4500,47.202451781971,7.545022311602,1203.0,1403.0,68.0,True,,,20.63,Wohnen Nähe Zentrum und Bahnhof garantiert!,3.5,1.0,1965.0,,2008.0,True,True,,,True,,,,,,,True,True,,,,True,True,1800.0,700.0,1800.0,,300.0,679,200.0,2.9411764705882355,SO
4001120332,"APARTMENT, ATTIC_FLAT",Laupenring 15,Basel,4054,47.546461781974,7.568292311601,2520.0,2760.0,101.0,True,,,27.33,Ihr neues Zuhause in grüner Umgebung,4.0,5.0,1956.0,,2004.0,True,True,,,True,,,True,,,,True,True,,True,,True,True,1300.0,250.0,250.0,,150.0,679,240.0,2.376237623762376,BS
4001112528,"APARTMENT, FLAT",Röslistr. 57,Zürich,8006,47.390941781977,8.544802311607,2250.0,2610.0,81.0,True,,,32.22,zentral gelegene Wohnung - Mieten ohne Kaution,3.0,3.0,1938.0,,1999.0,True,,,,True,,,,,,,True,True,,,,,True,100.0,20.0,100.0,,10.0,679,360.0,4.444444444444445,ZH
4001110208,"APARTMENT, FLAT",Breitigasse 15,Uster,8610,47.344691781971,8.734912311602,1540.0,1770.0,57.0,True,,,31.05,Mieten ohne Kaution - schöne Wohnung am Stadtrand,2.5,2.0,1975.0,,2018.0,True,,,,,,,,,,,True,True,,,,,True,900.0,200.0,350.0,,60.0,679,230.0,4.035087719298246,ZH
4001110219,"APARTMENT, FLAT",Rte de Cité-Ouest 19,Gland,1196,46.423331781974,6.256862311607,1780.0,2060.0,97.0,True,,True,21.24,Bel appartement au 5ème étage,3.0,5.0,1986.0,,,True,True,,,True,,,,,,,True,True,,,,True,True,3000.0,500.0,200.0,,100.0,679,280.0,2.88659793814433,VD
4001112551,"APARTMENT, FLAT",Steinentorberg 18,Basel,4051,47.549481781978,7.587812311602,2800.0,3200.0,90.0,,,,35.56,Wohnen im Markthallen Tower in unmittelbarer Nähe zum Bahnhof,3.0,11.0,2011.0,,,,,,,,,,,,,,,,,,,True,,,,,,,679,400.0,4.444444444444445,BS
4001120329,"APARTMENT, FLAT",Breitigasse 11,Uster,8610,47.344681781971,8.734462311601,1552.0,1782.0,57.0,True,,,31.26,MIETEN OHNE KAUTION - Gemütliche 2.5-Zimmerwohnung,2.5,3.0,1975.0,,2018.0,True,,,,,,,,,,,True,True,,,,,True,900.0,200.0,350.0,,60.0,679,230.0,4.035087719298246,ZH
4001115481,"APARTMENT, FLAT",Croix-Fédérale 27C,La Chaux-de-Fonds,2300,47.107411781976,6.842972311605,980.0,1270.0,77.0,True,,,16.49,LOCATION AVEC CAUTION GRATUITE !,4.0,3.0,1973.0,,2012.0,True,,,,,,,,,,,True,True,,,,True,True,1600.0,,1600.0,,300.0,679,290.0,3.7662337662337664,NE
